Complexity metrics,sam., 4 janv. 2025 00:27:58 CET
Method,CogC,ev(G),iv(G),v(G)
"Controllers.ClientController.modifierAdresseClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierCINClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierClient(String, String, String, String, String, String, String, ...)",0,1,1,1
"Controllers.ClientController.modifierDateNaisClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierMailClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierNomClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierPasswordClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierPrenomClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierTelClient(String, int)",3,3,3,3
"Controllers.ClientController.modifierUsernameClient(String, int)",3,3,3,3
"Controllers.ClientController.preter(double, int)",2,3,3,3
"Controllers.ClientController.rembourser(double, int)",2,3,3,3
Controllers.ClientController.supprimerClient(int),1,2,2,2
"Controllers.CompteCourantController.creerCompteCourant(int, TypeCompte, String)",0,1,1,1
"Controllers.CompteCourantController.depotArgent(double, int)",0,1,1,1
Controllers.CompteCourantController.getAllCompteCourant(),0,1,1,1
Controllers.CompteCourantController.getCompteCourant(int),1,2,2,2
Controllers.CompteCourantController.getCompteCourantByIdCompte(int),1,2,2,2
"Controllers.CompteCourantController.modifierSolde(double, int)",0,1,1,1
"Controllers.CompteCourantController.retrait(double, int)",0,1,1,1
Controllers.CompteCourantController.supprimerCompteCourant(int),0,1,1,1
"Controllers.CompteEpargneController.creerCompteEpargne(int, int, TypeCompte, String)",0,1,1,1
"Controllers.CompteEpargneController.depotArgent(double, int)",0,1,1,1
Controllers.CompteEpargneController.getAllCompteEpargne(),0,1,1,1
Controllers.CompteEpargneController.getCompteEpargne(int),1,2,2,2
Controllers.CompteEpargneController.getCompteEpargneByIdCompte(int),1,2,2,2
"Controllers.CompteEpargneController.modifierSolde(double, int)",0,1,1,1
"Controllers.CompteEpargneController.retrait(double, int)",0,1,1,1
Controllers.CompteEpargneController.supprimerCompteEpargne(int),0,1,1,1
Controllers.DirecteurController.getDirecteur(int),1,2,2,2
"Controllers.DirecteurController.loginDirecteur(String, String, int)",4,4,4,4
"Controllers.DirecteurController.modifierAdresseDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierCINDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierDateNaisDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierDirecteur(String, String, String, String, String, String, String, ...)",0,1,1,1
"Controllers.DirecteurController.modifierMailDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierNomDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierPasswordDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierPrenomDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierTelDirecteur(String, int)",3,3,3,3
"Controllers.DirecteurController.modifierUsernameDirecteur(String, int)",3,3,3,3
Controllers.TransactionController.ajouterTransaction(Transaction),1,1,2,2
Controllers.TransactionController.getAllTransaction(),0,1,1,1
Controllers.TransactionController.getTransactionByIdCompte(int),0,1,1,1
Controllers.TransactionController.supprimerTransactions(int),4,1,4,4
Interfaces.IBanque.infosBanque(),0,1,1,1
Interfaces.IBanque.nombreBanquiers(),0,1,1,1
Interfaces.IBanque.nombreClients(),0,1,1,1
Interfaces.IBanquier.ajouterBanquier(Banquier),0,1,1,1
Interfaces.IBanquier.getAllBanquier(),0,1,1,1
Interfaces.IBanquier.getBanquier(int),0,1,1,1
"Interfaces.IBanquier.loginBanquier(String, String, int)",0,1,1,1
"Interfaces.IBanquier.modifierAdresseBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierBanquier(double, int)",0,1,1,1
"Interfaces.IBanquier.modifierCINBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierMailBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierNomBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierPasswordBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierPrenomBanquier(String, int)",0,1,1,1
"Interfaces.IBanquier.modifierUsernameBanquier(String, int)",0,1,1,1
Interfaces.IBanquier.supprimerBanquier(int),0,1,1,1
Interfaces.IClient.ajouterClient(Client),0,1,1,1
Interfaces.IClient.getAllClient(),0,1,1,1
Interfaces.IClient.getClient(int),0,1,1,1
"Interfaces.IClient.loginClient(String, String, int)",0,1,1,1
"Interfaces.IClient.modifierAdresseClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierCINClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierClient(double, int)",0,1,1,1
"Interfaces.IClient.modifierMailClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierNomClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierPasswordClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierPrenomClient(String, int)",0,1,1,1
"Interfaces.IClient.modifierUsernameClient(String, int)",0,1,1,1
Interfaces.IClient.preter(double),0,1,1,1
Interfaces.IClient.rembourser(double),0,1,1,1
Interfaces.IClient.supprimerClient(int),0,1,1,1
"Interfaces.IDirecteur.loginDirecteur(String, String)",0,1,1,1
Interfaces.IDirecteur.modifierAdresseDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierCINDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierMailDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierNomDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierPasswordDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierPrenomDirecteur(String),0,1,1,1
Interfaces.IDirecteur.modifierUsernameDirecteur(String),0,1,1,1
Models.blls.BLL_Banque.afficherToutBanquier(),0,1,1,1
Models.blls.BLL_Banque.afficherToutClient(),0,1,1,1
Models.blls.BLL_Banque.infosBanque(),0,1,1,1
Models.blls.BLL_Banque.nombreBanquiers(),0,1,1,1
Models.blls.BLL_Banque.nombreClients(),0,1,1,1
"Models.blls.BLL_Banque.transfert(double, CompteBancaire, CompteBancaire)",2,2,1,4
Models.blls.BLL_Banquier.ajouterBanquier(Banquier),1,2,2,2
Models.blls.BLL_Banquier.getAllBanquier(),0,1,1,1
Models.blls.BLL_Banquier.getBanquier(int),0,1,1,1
"Models.blls.BLL_Banquier.loginBanquier(String, String, int)",2,2,2,2
"Models.blls.BLL_Banquier.modifierAdresseBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierCINBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierDateNaisBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierMailBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierNomBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierPasswordBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierPrenomBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierSalaireBanquier(double, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierTelBanquier(String, int)",2,2,3,3
"Models.blls.BLL_Banquier.modifierUsernameBanquier(String, int)",2,2,3,3
Models.blls.BLL_Banquier.supprimerBanquier(int),2,2,3,3
Models.blls.BLL_Client.ajouterClient(Client),1,2,2,2
Models.blls.BLL_Client.getAllClient(),0,1,1,1
Models.blls.BLL_Client.getClient(int),0,1,1,1
"Models.blls.BLL_Client.loginClient(String, String, int)",2,2,2,2
"Models.blls.BLL_Client.modifierAdresseClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierCINClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierDateNaisClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierMailClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierNomClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierPasswordClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierPrenomClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierTelClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.modifierUsernameClient(String, int)",2,2,3,3
"Models.blls.BLL_Client.preter(double, int)",3,3,3,4
"Models.blls.BLL_Client.rembourser(double, int)",0,1,1,1
Models.blls.BLL_Client.supprimerClient(int),2,2,3,3
Models.blls.BLL_CompteCourant.creerCompteCourant(CompteCourant),1,2,2,2
"Models.blls.BLL_CompteCourant.depotArgent(double, int)",2,2,2,2
Models.blls.BLL_CompteCourant.getAllCompteCourant(),0,1,1,1
Models.blls.BLL_CompteCourant.getCompteCourant(int),0,1,1,1
Models.blls.BLL_CompteCourant.getCompteCourantByIdCompte(int),0,1,1,1
"Models.blls.BLL_CompteCourant.modifierSolde(double, int)",2,2,2,2
"Models.blls.BLL_CompteCourant.retrait(double, int)",2,2,2,2
Models.blls.BLL_CompteCourant.supprimerCompteCourant(int),2,2,2,2
Models.blls.BLL_CompteEpargne.creerCompteEpargne(CompteEpargne),1,2,2,2
"Models.blls.BLL_CompteEpargne.depotArgent(double, int)",2,2,2,2
Models.blls.BLL_CompteEpargne.getAllCompteEpargne(),0,1,1,1
Models.blls.BLL_CompteEpargne.getCompteEpargne(int),0,1,1,1
Models.blls.BLL_CompteEpargne.getCompteEpargneByIdCompte(int),0,1,1,1
"Models.blls.BLL_CompteEpargne.modifierSolde(double, int)",2,2,2,2
"Models.blls.BLL_CompteEpargne.retrait(double, int)",2,2,2,2
Models.blls.BLL_CompteEpargne.supprimerCompteEpargne(int),2,2,2,2
Models.blls.BLL_Directeur.getDirecteur(int),0,1,1,1
"Models.blls.BLL_Directeur.loginDirecteur(String, String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierAdresseDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierCINDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierDateNaisDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierMailDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierNomDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierPasswordDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierPrenomDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierTelDirecteur(String, int)",0,1,1,1
"Models.blls.BLL_Directeur.modifierUsernameDirecteur(String, int)",0,1,1,1
Models.blls.BLL_Transaction.getAllTransaction(),0,1,1,1
Models.blls.BLL_Transaction.getTransactionByIdCompte(int),0,1,1,1
Models.dals.DAL_Banque.afficherToutBanquier(),1,1,2,2
Models.dals.DAL_Banque.afficherToutClient(),1,1,2,2
Models.dals.DAL_Banque.infosBanque(),0,1,1,1
Models.dals.DAL_Banque.nombreBanquiers(),0,1,1,1
Models.dals.DAL_Banque.nombreClients(),0,1,1,1
"Models.dals.DAL_Banque.transfert(double, CompteBancaire, CompteBancaire)",5,3,4,4
Models.dals.DAL_Banquier.ajouterBanquier(Banquier),4,2,3,4
Models.dals.DAL_Banquier.getAllBanquier(),0,1,1,1
Models.dals.DAL_Banquier.getBanquier(int),3,3,2,3
"Models.dals.DAL_Banquier.loginBanquier(String, String, int)",2,1,2,3
"Models.dals.DAL_Banquier.modifierAdresseBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierCINBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierDateNaisBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierMailBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierNomBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierPasswordBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierPrenomBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierSalaireBanquier(double, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifierUsernameBanquier(String, int)",1,1,2,2
"Models.dals.DAL_Banquier.modifiertelBanquier(String, int)",1,1,2,2
Models.dals.DAL_Banquier.supprimerBanquier(int),1,1,2,2
Models.dals.DAL_Client.ajouterClient(Client),8,3,4,5
Models.dals.DAL_Client.getAllClient(),0,1,1,1
Models.dals.DAL_Client.getClient(int),3,3,2,3
"Models.dals.DAL_Client.loginClient(String, String, int)",2,1,2,3
"Models.dals.DAL_Client.modifierAdresseClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierCINClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierDateNaisClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierMailClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierNomClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierPasswordClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierPrenomClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifierUsernameClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.modifiertelClient(String, int)",1,1,2,2
"Models.dals.DAL_Client.preter(double, int)",2,2,2,3
"Models.dals.DAL_Client.rembourser(double, int)",4,4,4,4
Models.dals.DAL_Client.supprimerClient(int),1,1,2,2
Models.dals.DAL_CompteCourant.creerCompteCourant(CompteCourant),4,2,3,4
"Models.dals.DAL_CompteCourant.depotArgent(double, int)",3,3,3,3
Models.dals.DAL_CompteCourant.getAllCompteCourant(),0,1,1,1
Models.dals.DAL_CompteCourant.getCompteCourant(int),3,3,3,3
Models.dals.DAL_CompteCourant.getCompteCourantByIdCompte(int),3,3,3,3
"Models.dals.DAL_CompteCourant.modifierSolde(double, int)",3,3,3,3
"Models.dals.DAL_CompteCourant.retrait(double, int)",7,4,4,4
Models.dals.DAL_CompteCourant.supprimerCompteCourant(int),3,3,3,3
Models.dals.DAL_CompteEpargne.creerCompteEpargne(CompteEpargne),4,2,3,4
"Models.dals.DAL_CompteEpargne.depotArgent(double, int)",3,3,3,3
Models.dals.DAL_CompteEpargne.getAllCompteEpargne(),0,1,1,1
Models.dals.DAL_CompteEpargne.getCompteEpargne(int),3,3,3,3
Models.dals.DAL_CompteEpargne.getCompteEpargneByIdCompte(int),3,3,3,3
"Models.dals.DAL_CompteEpargne.modifierSolde(double, int)",3,3,3,3
"Models.dals.DAL_CompteEpargne.retrait(double, int)",7,4,4,4
Models.dals.DAL_CompteEpargne.supprimerCompteEpargne(int),3,3,3,3
Models.dals.DAL_Directeur.getDirecteur(int),0,1,1,1
"Models.dals.DAL_Directeur.loginDirecteur(String, String, int)",3,2,2,5
"Models.dals.DAL_Directeur.modifierAdresseDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierCINDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierDateNaisDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierMailDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierNomDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierPasswordDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierPrenomDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifierUsernameDirecteur(String, int)",1,1,2,2
"Models.dals.DAL_Directeur.modifiertelDirecteur(String, int)",1,1,2,2
Models.dals.DAL_Transaction.getAllTransaction(),0,1,1,1
Models.dals.DAL_Transaction.getTransactionByIdCompte(int),3,1,3,3
Models.entities.Banque.Banque(),0,1,1,1
Models.entities.Banque.getAdresse(),0,1,1,1
Models.entities.Banque.getNom(),0,1,1,1
Models.entities.Banque.infos(),0,1,1,1
Models.entities.Banque.setAdresse(String),0,1,1,1
Models.entities.Banque.setNom(String),0,1,1,1
"Models.entities.Banquier.Banquier(String, String, String, String, String, String, String, ...)",0,1,1,1
"Models.entities.Banquier.Banquier(int, String, String, String, String, String, String, ...)",0,1,1,1
Models.entities.Banquier.getPassword(),0,1,1,1
Models.entities.Banquier.getUsername(),0,1,1,1
Models.entities.Banquier.setPassword(String),0,1,1,1
Models.entities.Banquier.setUsername(String),0,1,1,1
Models.entities.Banquier.toString(),0,1,1,1
"Models.entities.Client.Client(String, String, String, String, String, String, String, ...)",5,1,3,3
"Models.entities.Client.Client(int, String, String, String, String, String, String, ...)",0,1,1,1
Models.entities.Client.getId(),0,1,1,1
Models.entities.Client.getPassword(),0,1,1,1
Models.entities.Client.getSoldePret(),0,1,1,1
Models.entities.Client.getUsername(),0,1,1,1
Models.entities.Client.setId(int),0,1,1,1
Models.entities.Client.setPassword(String),0,1,1,1
Models.entities.Client.setSoldePret(double),0,1,1,1
Models.entities.Client.setUsername(String),0,1,1,1
Models.entities.Client.toString(),0,1,1,1
"Models.entities.CompteBancaire.CompteBancaire(int, TypeCompte)",13,1,5,5
"Models.entities.CompteBancaire.CompteBancaire(int, int, TypeCompte)",0,1,1,1
Models.entities.CompteBancaire.getDatecreation(),0,1,1,1
Models.entities.CompteBancaire.getIdClient(),0,1,1,1
Models.entities.CompteBancaire.getIdCompte(),0,1,1,1
Models.entities.CompteBancaire.getSolde(),0,1,1,1
Models.entities.CompteBancaire.getType(),0,1,1,1
Models.entities.CompteBancaire.setIdClient(int),0,1,1,1
Models.entities.CompteBancaire.setIdCompte(int),0,1,1,1
Models.entities.CompteBancaire.setSolde(double),0,1,1,1
Models.entities.CompteBancaire.setType(TypeCompte),0,1,1,1
Models.entities.CompteBancaire.toString(),0,1,1,1
"Models.entities.CompteCourant.CompteCourant(int, String, TypeCompte)",0,1,1,1
"Models.entities.CompteCourant.CompteCourant(int, int, double, String, TypeCompte)",0,1,1,1
Models.entities.CompteCourant.getDatecreation(),0,1,1,1
Models.entities.CompteCourant.getSolde(),0,1,1,1
Models.entities.CompteCourant.setDateCreation(String),0,1,1,1
Models.entities.CompteCourant.setSolde(double),0,1,1,1
Models.entities.CompteCourant.toString(),0,1,1,1
"Models.entities.CompteEpargne.CompteEpargne(int, int, TypeCompte, String)",0,1,1,1
"Models.entities.CompteEpargne.CompteEpargne(int, int, int, double, TypeCompte, String)",0,1,1,1
Models.entities.CompteEpargne.getDatecreation(),0,1,1,1
Models.entities.CompteEpargne.getDuree(),0,1,1,1
Models.entities.CompteEpargne.getSolde(),0,1,1,1
Models.entities.CompteEpargne.setDateCreation(String),0,1,1,1
Models.entities.CompteEpargne.setDuree(int),0,1,1,1
Models.entities.CompteEpargne.setSolde(double),0,1,1,1
Models.entities.CompteEpargne.toString(),0,1,1,1
Models.entities.DataBase.verifierBanquier(int),3,3,2,3
Models.entities.DataBase.verifierClient(int),3,3,2,3
Models.entities.DataBase.verifierCompte(int),6,5,3,5
Models.entities.DataBase.verifierTransaction(int),3,3,2,3
"Models.entities.Directeur.Directeur(String, String, String, String, String, String, String, ...)",0,1,1,1
"Models.entities.Directeur.Directeur(int, String, String, String, String, String, String, ...)",0,1,1,1
Models.entities.Directeur.getPassword(),0,1,1,1
Models.entities.Directeur.getUsername(),0,1,1,1
Models.entities.Directeur.setPassword(String),0,1,1,1
Models.entities.Directeur.setUsername(String),0,1,1,1
Models.entities.Directeur.toString(),0,1,1,1
"Models.entities.Employe.Employe(String, String, String, String, String, String, String, ...)",5,1,3,3
"Models.entities.Employe.Employe(int, String, String, String, String, String, String, ...)",0,1,1,1
Models.entities.Employe.getId(),0,1,1,1
Models.entities.Employe.getSalaire(),0,1,1,1
Models.entities.Employe.setSalaire(double),0,1,1,1
Models.entities.Employe.toString(),0,1,1,1
Models.entities.GestionBase.close(),3,1,3,3
Models.entities.GestionBase.connect(),1,1,2,2
Models.entities.GestionBase.loadDataFromDataBase(),16,2,13,13
Models.entities.GestionBase.updateDataBase(),27,4,19,19
"Models.entities.Personne.Personne(String, String, String, String, String, String, String)",0,1,1,1
Models.entities.Personne.getAdresse(),0,1,1,1
Models.entities.Personne.getCIN(),0,1,1,1
Models.entities.Personne.getDateNais(),0,1,1,1
Models.entities.Personne.getMail(),0,1,1,1
Models.entities.Personne.getNom(),0,1,1,1
Models.entities.Personne.getPrenom(),0,1,1,1
Models.entities.Personne.getTel(),0,1,1,1
Models.entities.Personne.setAdresse(String),0,1,1,1
Models.entities.Personne.setCIN(String),0,1,1,1
Models.entities.Personne.setDateNais(String),0,1,1,1
Models.entities.Personne.setMail(String),0,1,1,1
Models.entities.Personne.setNom(String),0,1,1,1
Models.entities.Personne.setPrenom(String),0,1,1,1
Models.entities.Personne.setTel(String),0,1,1,1
Models.entities.Personne.toString(),0,1,1,1
"Models.entities.Transaction.Transaction(String, double, String, int)",5,1,3,3
"Models.entities.Transaction.Transaction(int, String, double, String, int)",0,1,1,1
Models.entities.Transaction.afficherTransaction(),0,1,1,1
Models.entities.Transaction.getDate(),0,1,1,1
Models.entities.Transaction.getIdCompte(),0,1,1,1
Models.entities.Transaction.getIdTransaction(),0,1,1,1
Models.entities.Transaction.getMontant(),0,1,1,1
Models.entities.Transaction.getType(),0,1,1,1
Models.entities.Transaction.setDate(String),0,1,1,1
Models.entities.Transaction.setMontant(double),0,1,1,1
Models.entities.Transaction.setType(String),0,1,1,1
Models.entities.Transaction.toString(),0,1,1,1
TestConnection.main(String[]),1,1,2,2
Views.AccueilPage.AccueilPage(),29,1,11,11
Views.AccueilPage.createButton(String),4,1,3,3
Views.TableBanquiersView.TableBanquiersView(List<Banquier>),1,1,2,2
Views.TableClientsView.TableClientsView(List<Client>),1,1,2,2
Views.TableComptesView.TableComptesView(List<CompteBancaire>),1,1,2,2
Views.TableTransactionView.TableTransactionView(List<Transaction>),3,1,3,3
Views.ViewBanquier.ViewBanquier(),17,2,9,9
Views.ViewBanquier.createButton(String),0,1,1,1
Views.ViewClient.ViewClient(),42,1,16,18
Views.ViewClient.createButton(String),0,1,1,1
Views.ViewCompte.ViewCompte(),77,13,20,23
Views.ViewCompte.createButton(String),0,1,1,1
Views.ViewDirecteur.ViewDirecteur(),8,1,4,4
Views.ViewDirecteur.createButton(String),0,1,1,1
Views.ViewGererBanquier.ViewGererBanquier(),27,1,10,10
Views.ViewGererBanquier.createButton(String),0,1,1,1
Views.ViewGererClient.ViewGererClient(),103,1,28,28
Views.ViewGererClient.createButton(String),0,1,1,1
actionPerformed(ActionEvent),5,n/a,n/a,n/a
org.example.Main.main(String[]),0,1,1,1
paintComponent(Graphics),3,n/a,n/a,n/a
utils.Session.clear(),0,1,1,1
utils.Session.getUserId(),0,1,1,1
utils.Session.isLoggedIn(),0,1,1,1
utils.Session.setUserId(int),0,1,1,1

Class,OCavg,OCmax,WMC
Controllers.BanqueController,"1,50",3,18
Controllers.BanquierController,"2,56",4,41
Controllers.ClientController,"2,50",4,45
Controllers.CompteCourantController,"1,25",2,10
Controllers.CompteEpargneController,"1,25",2,10
Controllers.DirecteurController,"2,83",4,34
Controllers.TransactionController,"1,50",3,6
Interfaces.IBanque,"1,00",1,3
Interfaces.IBanquier,"1,00",1,13
Interfaces.IClient,"1,00",1,15
Interfaces.IDirecteur,"1,00",1,8
Models.blls.BLL_Banque,"1,17",2,7
Models.blls.BLL_Banquier,"1,87",2,28
Models.blls.BLL_Client,"1,88",3,30
Models.blls.BLL_CompteCourant,"1,62",2,13
Models.blls.BLL_CompteEpargne,"1,62",2,13
Models.blls.BLL_Directeur,"1,00",1,11
Models.blls.BLL_Transaction,"1,00",1,2
Models.dals.DAL_Banque,"1,67",3,10
Models.dals.DAL_Banquier,"1,33",4,20
Models.dals.DAL_Client,"1,62",5,26
Models.dals.DAL_CompteCourant,"3,00",4,24
Models.dals.DAL_CompteEpargne,"3,00",4,24
Models.dals.DAL_Directeur,"1,09",2,12
Models.dals.DAL_Transaction,"2,00",3,4
Models.entities.Banque,"1,00",1,6
Models.entities.Banquier,"1,00",1,7
Models.entities.Client,"1,18",3,13
Models.entities.CompteBancaire,"1,33",5,16
Models.entities.CompteCourant,"1,00",1,7
Models.entities.CompteEpargne,"1,00",1,9
Models.entities.DataBase,"3,50",5,14
Models.entities.Directeur,"1,00",1,7
Models.entities.Employe,"1,33",3,8
Models.entities.GestionBase,"6,25",13,25
Models.entities.Personne,"1,00",1,16
Models.entities.Transaction,"1,17",3,14
Models.entities.TypeCompte,n/a,n/a,0
Models.entities.TypeTransaction,n/a,n/a,0
TestConnection,"1,00",1,1
Views.AccueilPage,"2,50",3,15
Views.TableBanquiersView,"2,00",2,2
Views.TableClientsView,"2,00",2,2
Views.TableComptesView,"2,00",2,2
Views.TableTransactionView,"3,00",3,3
Views.ViewBanquier,"1,50",3,12
Views.ViewClient,"2,50",5,20
Views.ViewCompte,"4,00",9,20
Views.ViewDirecteur,"1,25",3,10
Views.ViewGererBanquier,"2,00",3,12
Views.ViewGererClient,"4,29",11,30
org.example.Main,"1,00",1,1
utils.Session,"1,00",1,4

Package,v(G)avg,v(G)tot
,"2,00",2
Controllers,"2,15",168
Interfaces,"1,00",39
Models.blls,"1,94",128
Models.dals,"2,41",159
Models.entities,"1,52",154
Views,"6,72",121
org.example,"1,00",1
utils,"1,00",4

Module,v(G)avg,v(G)tot
GestionBanque,"2,07",776

Project,v(G)avg,v(G)tot
project,"2,07",776

